key,bojTagId,displayNames_language,displayNames_name,displayNames_short
math,124,5225,ko,수학,수학
implementation,102,4499,ko,구현,구현
dp,25,3350,ko,다이나믹 프로그래밍,다이나믹 프로그래밍
graphs,7,3078,ko,그래프 이론,그래프 이론
data_structures,175,3076,ko,자료 구조,자료 구조
string,158,1982,ko,문자열,문자열
greedy,33,1939,ko,그리디 알고리즘,그리디 알고리즘
bruteforcing,125,1812,ko,브루트포스 알고리즘,브루트포스 알고리즘
graph_traversal,11,1708,ko,그래프 탐색,그래프 탐색
sorting,97,1480,ko,정렬,정렬
geometry,100,1205,ko,기하학,기하학
number_theory,95,1178,ko,정수론,정수론
trees,120,1122,ko,트리,트리
segtree,65,1075,ko,세그먼트 트리,세그먼트 트리
binary_search,12,995,ko,이분 탐색,이분 탐색
ad_hoc,109,976,ko,애드 혹,애드 혹
arithmetic,121,879,ko,사칙연산,사칙연산
simulation,141,858,ko,시뮬레이션,시뮬레이션
bfs,126,849,ko,너비 우선 탐색,너비 우선 탐색
constructive,128,728,ko,해 구성하기,해 구성하기
prefix_sum,139,718,ko,누적 합,누적 합
combinatorics,6,708,ko,조합론,조합론
dfs,127,692,ko,깊이 우선 탐색,깊이 우선 탐색
case_work,137,636,ko,많은 조건 분기,많은 조건 분기
bitmask,14,595,ko,비트마스킹,비트마스킹
dijkstra,22,480,ko,데이크스트라,데이크스트라
hash_set,136,472,ko,해시를 사용한 집합과 맵,해시를 사용한 집합과 맵
backtracking,5,416,ko,백트래킹,백트래킹
tree_set,74,389,ko,트리를 사용한 집합과 맵,트리를 사용한 집합과 맵
sweeping,106,386,ko,스위핑,스위핑
disjoint_set,81,375,ko,분리 집합,분리 집합
parsing,96,374,ko,파싱,파싱
divide_and_conquer,24,360,ko,분할 정복,분할 정복
dp_tree,92,338,ko,트리에서의 다이나믹 프로그래밍,트리에서의 다이나믹 프로그래밍
priority_queue,59,336,ko,우선순위 큐,우선순위 큐
stack,71,316,ko,스택,스택
two_pointer,80,304,ko,두 포인터,두 포인터
game_theory,140,280,ko,게임 이론,게임 이론
flow,45,278,ko,최대 유량,최대 유량
parametric_search,170,278,ko,매개 변수 탐색,매개 변수 탐색
primality_test,9,271,ko,소수 판정,소수 판정
lazyprop,66,250,ko,느리게 갱신되는 세그먼트 트리,느리게 갱신되는 세그먼트 트리
dp_bitfield,87,248,ko,비트필드를 이용한 다이나믹 프로그래밍,비트필드를 이용한 다이나믹 프로그래밍
probability,177,225,ko,확률론,확률론
exponentiation_by_squaring,39,222,ko,분할 정복을 이용한 거듭제곱,분할 정복을 이용한 거듭제곱
arbitrary_precision,117,220,ko,임의 정밀도 / 큰 수 연산,임의 정밀도 / 큰 수 연산
offline_queries,123,208,ko,오프라인 쿼리,오프라인 쿼리
recursion,62,189,ko,재귀,재귀
knapsack,148,183,ko,배낭 문제,배낭 문제
precomputation,172,175,ko,런타임 전의 전처리,런타임 전의 전처리
sieve,67,172,ko,에라토스테네스의 체,에라토스테네스의 체
mst,49,171,ko,최소 스패닝 트리,최소 스패닝 트리
coordinate_compression,161,170,ko,값 / 좌표 압축,값 / 좌표 압축
bipartite_matching,13,158,ko,이분 매칭,이분 매칭
euclidean,26,157,ko,유클리드 호제법,유클리드 호제법
floyd_warshall,31,151,ko,플로이드–워셜,플로이드–워셜
topological_sorting,78,151,ko,위상 정렬,위상 정렬
lca,41,144,ko,최소 공통 조상,최소 공통 조상
linear_algebra,144,143,ko,선형대수학,선형대수학
hashing,8,141,ko,해싱,해싱
convex_hull,20,136,ko,볼록 껍질,볼록 껍질
scc,76,129,ko,강한 연결 요소,강한 연결 요소
