problem_id,problem_title,information,problem_answer_num,problem_submit_num,problem_answer_rate
1000,A+B,다국어,248124,884143,40.167
1001,A-B,,211393,362236,70.379
1002,터렛,,33169,195087,22.323
1003,피보나치 함수,,45308,193091,32.453
1004,어린 왕자,,13579,36364,45.63
1005,ACM Craft,,11502,65222,27.418
1006,습격자 초라기,,1782,16354,19.6
1007,벡터 매칭,스페셜 저지,2986,11020,37.334
1008,A/B,스페셜 저지,169788,597522,34.724
1009,분산처리,,17626,93970,24.354
1010,다리 놓기,,30034,78871,48.359
1011,Fly me to the Alpha Centauri,,21522,91032,31.208
1012,유기농 배추,,40768,152566,37.709
1013,Contact,,3890,13699,36.403
1014,컨닝,다국어,1793,7281,46.668
1015,수열 정렬,스페셜 저지,5434,12498,53.674
1016,제곱 ㄴㄴ 수,,7261,54814,21.379
1017,소수 쌍,,1872,10345,25.04
1018,체스판 다시 칠하기,,38582,97868,49.341
1019,책 페이지,,3696,14952,41.449
1020,디지털 카운터,,457,3182,28.175
1021,회전하는 큐,,18503,38105,60.797
1022,소용돌이 예쁘게 출력하기,,2791,13324,29.503
1023,괄호 문자열,,597,2787,34.689
1024,수열의 합,,4630,21391,28.066
1025,제곱수 찾기,,1568,5987,32.845
1026,보물,,29166,52186,68.049
1027,고층 건물,,2669,7684,43.985
1028,다이아몬드 광산,,1371,8865,24.85
1029,그림 교환,,1037,5092,27.653
1030,프렉탈 평면,,774,2288,45.316
1031,스타 대결,,440,2970,24.242
1032,명령 프롬프트,,15226,31550,57.118
1033,칵테일,,921,4070,32.35
1034,램프,,1582,5129,41.102
1035,조각 움직이기,,485,1703,43.304
1036,36진수,,823,4928,23.374
1037,약수,,27734,57747,55.577
1038,감소하는 수,,6029,24644,33.625
1039,교환,,2669,16267,22.406
1040,정수,,305,2470,23.828
1041,주사위,,3740,16447,27.311
1042,움,,99,467,34.859
1043,거짓말,,7764,22917,44.641
1044,팀 선발,,227,2091,17.132
1045,도로,,300,1435,27.174
1046,그림자,스페셜 저지,67,464,27.236
1047,울타리,,194,1209,29.439
1048,유니콘,,167,735,32.617
1049,기타줄,,8517,25460,38.958
1050,물약,,181,2569,11.963
1051,숫자 정사각형,,6787,18762,43.437
1052,물병,,3293,11135,38.888
1053,팰린드롬 공장,,381,1301,37.28
1054,팰린드롬 문장,,68,509,27.642
1055,끝이없음,,137,1423,21.045
1056,수,,128,1074,20.915
1057,토너먼트,,8890,18943,57.097
1058,친구,,3412,9350,45.3
1059,좋은 구간,,3508,15364,27.815
1060,좋은 수,,185,1302,20.74
1061,삼각형,,43,562,13.651
1062,가르침,,6973,43241,25.235
1063,킹,,4072,12652,39.773
1064,평행사변형,스페셜 저지,2052,8785,31.138
1065,한수,,65594,145540,54.038
1066,에이한수,,68,214,69.388
1067,이동,,1039,4277,53.64
1068,트리,,10187,46908,28.277
1069,집으로,스페셜 저지,1052,4785,29.701
1070,김지민의 침략,,67,373,29.515
1071,소트,,776,3845,29.675
1072,게임,,6633,37852,23.775
1073,도미노,,142,364,55.906
1074,Z,,19373,65794,40.244
1075,나누기,,9721,20189,56.928
