workbook_rank,workbook_id,made_person,workbook_title,problem_id,problem_title,answer_num,submit_num,answer_rate
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,13460,구슬 탈출 2,13339,79115,27.583%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,12100,2048 (Easy),13099,77710,26.145%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,3190,뱀,17744,63683,39.946%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,13458,시험 감독,18468,83626,28.693%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,14499,주사위 굴리기,14381,44436,44.317%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,14500,테트로미노,18927,76625,35.954%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,14501,퇴사,27012,81580,49.654%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,14502,연구소,26485,82941,54.809%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,14503,로봇 청소기,19233,52465,53.723%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,14888,연산자 끼워넣기,26371,86624,47.976%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,14889,스타트와 링크,24190,83831,46.236%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,14890,경사로,10338,25633,56.449%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,14891,톱니바퀴,13056,32848,54.552%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,15683,감시,11991,42269,43.884%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,15684,사다리 조작,7769,60502,21.727%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,15685,드래곤 커브,9057,23225,54.921%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,15686,치킨 배달,20961,71415,45.592%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,5373,큐빙,3462,12965,38.462%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,16234,인구 이동,13731,58328,37.227%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,16235,나무 재테크,7496,55250,21.913%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,16236,아기 상어,16515,59584,42.711%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,17144,미세먼지 안녕!,11843,32161,54.278%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,17143,낚시왕,7513,43700,26.540%
1,1152,baekjoon,삼성 SW 역량 테스트 기출 문제,17140,이차원 배열과 연산,5795,18892,43.925%
